incident_id,FacilityName,assigned_cell_id
738,Station 09,296
739,Station 09,296
740,Station 09,296
741,Station 17,223
742,Station 07,149
743,Station 19,249
744,Station 27,318
745,Station 21,350
746,Station 12,352
747,Station 39,362
748,Station 14,354
749,Station 01,329
750,Station 33,501
751,Station 21,350
752,Station 12,352
753,Station 23,177
754,Station 06,375
755,Station 23,177
756,Station 21,350
757,Station 24,228
758,Station 12,352
759,Station 12,352
760,Station 04,430
761,Station 12,352
762,Station 12,352
763,Station 08,270
764,Station 07,149
765,Station 16,270
766,Station 05,296
767,Station 16,270
768,Station 21,350
769,Station 16,270
770,Station 05,296
771,Station 11,250
772,Station 17,223
773,Station 08,270
774,Station 27,318
775,Station 19,249
776,Station 19,249
777,Station 04,430
778,Station 17,223
779,Station 01,329
780,Station 15,432
781,Station 09,296
782,Station 09,296
783,Station 06,375
784,Station 09,296
785,Station 11,250
786,Station 12,352
787,Station 28,435
788,Station 06,375
789,Station 20,220
790,Station 19,249
791,Station 20,220
792,Station 16,270
793,Station 09,296
794,Station 09,296
795,Station 09,296
796,Station 19,249
797,Station 09,296
798,Station 19,249
799,Station 13,224
800,Station 12,352
801,Station 20,220
802,Station 20,220
803,Station 08,270
804,Station 17,223
805,Station 05,296
806,Station 19,249
807,Station 29,386
808,Station 34,47
809,Station 17,223
810,Station 25,276
811,Station 27,318
812,Station 21,350
813,Station 37,80
814,Station 11,250
815,Station 14,354
816,Station 08,270
817,Station 08,270
818,Station 16,270
819,Station 21,350
820,Station 09,296
821,Station 34,47
822,Station 34,47
823,Station 21,350
824,Station 11,250
825,Station 01,329
826,Station 21,350
827,Station 22,439
828,Station 09,296
829,Station 11,250
830,Station 25,276
831,Station 12,352
832,Station 20,220
833,Station 01,329
834,Station 16,270
835,Station 04,430
836,Station 09,296
837,Station 04,430
838,Station 21,350
839,Station 21,350
840,Station 12,352
841,Station 11,250
842,Station 11,250
843,Station 09,296
844,Station 09,296
845,Station 37,80
846,Station 28,435
847,Station 14,354
848,Station 14,354
849,Station 27,318
850,Station 10,345
851,Station 09,296
852,Station 08,270
853,Station 01,329
854,Station 25,276
855,Station 28,435
856,Station 29,386
857,Station 29,386
858,Station 06,375
859,Station 20,220
860,Station 12,352
861,Station 07,149
862,Station 37,80
863,Station 12,352
864,Station 28,435
865,Station 04,430
866,Station 28,435
867,Station 01,329
868,Station 21,350
869,Station 12,352
870,Station 11,250
871,Station 19,249
872,Station 09,296
873,Station 09,296
874,Station 03,326
875,Station 12,352
876,Station 23,177
877,Station 14,354
878,Station 12,352
879,Station 14,354
880,Station 21,350
881,Station 34,47
882,Station 19,249
883,Station 19,249
884,Station 24,228
885,Station 18,355
886,Station 24,228
887,Station 16,270
888,Station 16,270
889,Station 24,228
890,Station 33,501
891,Station 25,276
892,Station 03,326
893,Station 23,177
894,Station 25,276
895,Station 09,296
896,Station 21,350
897,Station 01,329
898,Station 39,362
899,Station 23,177
900,Station 33,501
901,Station 24,228
902,Station 08,270
903,Station 33,501
904,Station 11,250
905,Station 13,224
906,Station 07,149
907,Station 27,318
908,Station 25,276
909,Station 22,439
910,Station 28,435
911,Station 13,224
912,Station 09,296
913,Station 09,296
914,Station 17,223
915,Station 05,296
916,Station 27,318
917,Station 16,270
918,Station 05,296
919,Station 08,270
920,Station 13,224
921,Station 11,250
922,Station 03,326
923,Station 11,250
924,Station 19,249
925,Station 06,375
926,Station 11,250
927,Station 28,435
928,Station 08,270
929,Station 19,249
930,Station 25,276
931,Station 05,296
932,Station 09,296
933,Station 28,435
934,Station 14,354
935,Station 09,296
936,Station 09,296
937,Station 01,329
938,Station 25,276
939,Station 06,375
940,Station 27,318
941,Station 08,270
942,Station 12,352
943,Station 18,355
944,Station 09,296
945,Station 09,296
946,Station 01,329
947,Station 11,250
948,Station 12,352
949,Station 24,228
950,Station 09,296
951,Station 11,250
952,Station 08,270
953,Station 09,296
954,Station 16,270
955,Station 19,249
956,Station 09,296
957,Station 07,149
958,Station 06,375
959,Station 19,249
960,Station 23,177
961,Station 03,326
962,Station 12,352
963,Station 09,296
964,Station 09,296
965,Station 10,345
966,Station 11,250
967,Station 19,249
968,Station 04,430
969,Station 06,375
970,Station 09,296
971,Station 05,296
972,Station 09,296
973,Station 17,223
974,Station 19,249
975,Station 09,296
976,Station 09,296
977,Station 06,375
978,Station 09,296
979,Station 21,350
980,Station 28,435
981,Station 03,326
982,Station 28,435
983,Station 12,352
984,Station 19,249
985,Station 09,296
986,Station 09,296
987,Station 09,296
988,Station 33,501
989,Station 25,276
990,Station 27,318
991,Station 24,228
992,Station 09,296
993,Station 25,276
994,Station 24,228
995,Station 01,329
996,Station 25,276
997,Station 06,375
998,Station 10,345
999,Station 11,250
1000,Station 05,296
1001,Station 09,296
1002,Station 21,350
1003,Station 08,270
1004,Station 20,220
1005,Station 17,223
1006,Station 25,276
1007,Station 19,249
1008,Station 01,329
1009,Station 04,430
1010,Station 04,430
1011,Station 23,177
1012,Station 05,296
1013,Station 21,350
1014,Station 04,430
1015,Station 16,270
1016,Station 21,350
1017,Station 09,296
1018,Station 19,249
1019,Station 12,352
1020,Station 06,375
1021,Station 12,352
1022,Station 28,435
1023,Station 11,250
1024,Station 12,352
1025,Station 20,220
1026,Station 18,355
1027,Station 09,296
1028,Station 21,350
1029,Station 19,249
1030,Station 07,149
1031,Station 11,250
1032,Station 26,452
1033,Station 11,250
1034,Station 03,326
1035,Station 11,250
1036,Station 12,352
1037,Station 14,354
1038,Station 14,354
1039,Station 28,435
1040,Station 21,350
1041,Station 11,250
1042,Station 37,80
1043,Station 23,177
1044,Station 12,352
1045,Station 19,249
1046,Station 19,249
1047,Station 13,224
1048,Station 20,220
1049,Station 33,501
1050,Station 34,47
1051,Station 28,435
1052,Station 28,435
1053,Station 06,375
1054,Station 12,352
1055,Station 01,329
1056,Station 21,350
1057,Station 23,177
1058,Station 37,80
1059,Station 21,350
1060,Station 13,224
1061,Station 33,501
1062,Station 28,435
1063,Station 11,250
1064,Station 21,350
1065,Station 19,249
1066,Station 16,270
1067,Station 07,149
1068,Station 04,430
1069,Station 20,220
1070,Station 20,220
1071,Station 20,220
1072,Station 37,80
1073,Station 11,250
1074,Station 09,296
1075,Station 11,250
1076,Station 37,80
1077,Station 06,375
1078,Station 09,296
1079,Station 09,296
1080,Station 11,250
1081,Station 09,296
1082,Station 19,249
1083,Station 08,270
1084,Station 04,430
1085,Station 11,250
1086,Station 23,177
1087,Station 12,352
1088,Station 22,439
1089,Station 33,501
1090,Station 23,177
1091,Station 17,223
1092,Station 28,435
1093,Station 15,432
1094,Station 28,435
1095,Station 25,276
1096,Station 09,296
1097,Station 08,270
1098,Station 14,354
1099,Station 07,149
1100,Station 25,276
1101,Station 06,375
1102,Station 20,220
1103,Station 19,249
1104,Station 16,270
1105,Station 21,350
1106,Station 24,228
1107,Station 28,435
1108,Station 33,501
1109,Station 17,223
1110,Station 06,375
1111,Station 12,352
1112,Station 19,249
1113,Station 08,270
1114,Station 01,329
1115,Station 09,296
1116,Station 37,80
1117,Station 11,250
1118,Station 09,296
1119,Station 22,439
1120,Station 09,296
1121,Station 08,270
1122,Station 19,249
1123,Station 18,355
1124,Station 28,435
1125,Station 09,296
1126,Station 12,352
1127,Station 16,270
1128,Station 17,223
1129,Station 07,149
1130,Station 28,435
1131,Station 09,296
1132,Station 25,276
1133,Station 09,296
1134,Station 25,276
1135,Station 23,177
1136,Station 23,177
1137,Station 37,80
1138,Station 19,249
1139,Station 23,177
1140,Station 15,432
1141,Station 17,223
1142,Station 18,355
1143,Station 23,177
1144,Station 01,329
1145,Station 01,329
1146,Station 27,318
1147,Station 21,350
1148,Station 08,270
1149,Station 34,47
1150,Station 06,375
1151,Station 27,318
1152,Station 09,296
1153,Station 24,228
1154,Station 24,228
1155,Station 33,501
1156,Station 28,435
1157,Station 01,329
1158,Station 01,329
1159,Station 29,386
1160,Station 05,296
1161,Station 09,296
1162,Station 08,270
1163,Station 12,352
1164,Station 17,223
1165,Station 14,354
1166,Station 22,439
1167,Station 06,375
1168,Station 24,228
1169,Station 25,276
1170,Station 16,270
1171,Station 11,250
1172,Station 14,354
1173,Station 09,296
1174,Station 06,375
1175,Station 11,250
1176,Station 10,345
1177,Station 01,329
1178,Station 24,228
1179,Station 15,432
1180,Station 33,501
1181,Station 21,350
1182,Station 09,296
1183,Station 04,430
1184,Station 01,329
1185,Station 23,177
1186,Station 34,47
1187,Station 14,354
1188,Station 23,177
1189,Station 09,296
1190,Station 24,228
1191,Station 05,296
1192,Station 05,296
1193,Station 21,350
1194,Station 04,430
1195,Station 13,224
1196,Station 06,375
1197,Station 09,296
1198,Station 28,435
1199,Station 19,249
1200,Station 37,80
1201,Station 12,352
1202,Station 22,439
1203,Station 12,352
1204,Station 09,296
1205,Station 12,352
1206,Station 20,220
1207,Station 19,249
1208,Station 17,223
1209,Station 09,296
1210,Station 11,250
1211,Station 25,276
1212,Station 12,352
1213,Station 24,228
1214,Station 04,430
1215,Station 06,375
1216,Station 08,270
1217,Station 21,350
1218,Station 33,501
1219,Station 14,354
1220,Station 06,375
1221,Station 11,250
1222,Station 01,329
1223,Station 09,296
1224,Station 04,430
1225,Station 20,220
1226,Station 12,352
1227,Station 28,435
1228,Station 09,296
1229,Station 12,352
1230,Station 09,296
1231,Station 33,501
1232,Station 14,354
1233,Station 09,296
1234,Station 09,296
1235,Station 28,435
1236,Station 27,318
1237,Station 28,435
1238,Station 03,326
1239,Station 17,223
1240,Station 03,326
1241,Station 12,352
1242,Station 24,228
1243,Station 16,270
1244,Station 09,296
1245,Station 25,276
1246,Station 28,435
1247,Station 24,228
1248,Station 28,435
1249,Station 24,228
1250,Station 19,249
1251,Station 11,250
1252,Station 09,296
1253,Station 08,270
1254,Station 24,228
1255,Station 12,352
1256,Station 06,375
1257,Station 37,80
1258,Station 21,350
1259,Station 19,249
1260,Station 09,296
1261,Station 19,249
1262,Station 20,220
1263,Station 12,352
1264,Station 06,375
1265,Station 07,149
1266,Station 09,296
1267,Station 12,352
1268,Station 04,430
1269,Station 09,296
1270,Station 19,249
1271,Station 29,386
1272,Station 08,270
1273,Station 04,430
1274,Station 12,352
1275,Station 09,296
1276,Station 23,177
1277,Station 09,296
1278,Station 09,296
1279,Station 11,250
1280,Station 33,501
1281,Station 09,296
1282,Station 11,250
1283,Station 28,435
1284,Station 19,249
1285,Station 09,296
1286,Station 34,47
1287,Station 09,296
1288,Station 09,296
1289,Station 28,435
1290,Station 08,270
1291,Station 28,435
1292,Station 21,350
1293,Station 12,352
1294,Station 09,296
1295,Station 09,296
1296,Station 21,350
1297,Station 08,270
1298,Station 09,296
1299,Station 09,296
1300,Station 18,355
1301,Station 33,501
1302,Station 12,352
1303,Station 05,296
1304,Station 33,501
1305,Station 21,350
1306,Station 09,296
1307,Station 09,296
1308,Station 09,296
1309,Station 29,386
1310,Station 11,250
1311,Station 17,223
1312,Station 06,375
1313,Station 09,296
1314,Station 09,296
1315,Station 09,296
1316,Station 19,249
1317,Station 15,432
1318,Station 28,435
1319,Station 21,350
1320,Station 11,250
1321,Station 20,220
1322,Station 04,430
1323,Station 33,501
1324,Station 09,296
1325,Station 09,296
1326,Station 01,329
1327,Station 09,296
1328,Station 28,435
1329,Station 09,296
1330,Station 12,352
