xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
155977912,WESTMINSTER PL,,C,0.050529738053932,5,DAVIDSON,TN,37205,America/Chicago,36.09632,-86.87828,36.09632,-86.87828
1524496893,I-40 E,40,E,0.437770454542056,1,DAVIDSON,TN,37209,America/Chicago,36.1089,-86.92585,36.1132,-86.92009
160682067,W EXPRESS DR,,W,0.130821073632683,5,DAVIDSON,TN,37210,America/Chicago,36.14826,-86.75034,36.14937,-86.75221
396006282,18TH AVE N,,S,0.084008743301606,4,DAVIDSON,TN,37203,America/Chicago,36.15505,-86.79752,36.15401,-86.79674
1524596297,SPRUCE ST,,N,0.020873529533872,4,DAVIDSON,TN,37203,America/Chicago,36.15708,-86.80387,36.15736,-86.80401
156074680,46TH AVE N,,S,0.078837496373626,4,DAVIDSON,TN,37209,America/Chicago,36.15786,-86.84252,36.15672,-86.84246
475946562,HAMILTON AVE,,E,0.124337303793004,5,DAVIDSON,TN,37203,America/Chicago,36.13911,-86.77429,36.13888,-86.77208
485294918,3RD AVE N,,N,0.186253739936458,4,DAVIDSON,TN,37201,America/Chicago,36.1688,-86.78064,36.17117,-86.78223
396106925,UNION ST,,W,0.034896966348748,4,DAVIDSON,TN,37201,America/Chicago,36.16588,-86.77818,36.16588,-86.77876
1524579719,59,,N,0.115894203698788,4,DAVIDSON,TN,37013,America/Chicago,36.04433,-86.65702,36.04557,-86.6584
156556724,KRAFT DR,,N,0.111016362566543,5,DAVIDSON,TN,37204,America/Chicago,36.10981,-86.7582,36.11141,-86.75802
464269947,CENTENNIAL BLVD,,W,0.16014799884554,4,DAVIDSON,TN,37209,America/Chicago,36.16931,-86.86202,36.17145,-86.86309
156165978,CHARLES E DAVIS BLVD,,S,0.066856934329656,5,DAVIDSON,TN,37210,America/Chicago,36.15409,-86.76167,36.15313,-86.76182
464282916,S 14TH ST,,N,0.206094848804349,4,DAVIDSON,TN,37206,America/Chicago,36.17081,-86.74677,36.17377,-86.74632
464282919,NASHBORO BLVD,,S,0.519019779054038,4,DAVIDSON,TN,37217,America/Chicago,36.08896,-86.63638,36.08912,-86.62739
156198061,2ND AVE N,,S,0.038021651437305,5,DAVIDSON,TN,37208,America/Chicago,36.17686,-86.78462,36.17637,-86.78431
159697870,EUGENIA AVE,,S,0.127688463894932,4,DAVIDSON,TN,37211,America/Chicago,36.12062,-86.75646,36.11888,-86.75591
156109839,RIVER HILLS DR,,W,0.62144585448594,5,DAVIDSON,TN,37210,America/Chicago,36.16373,-86.71196,36.16149,-86.71801
1524428760,,,S,0.026688357767888,4,DAVIDSON,TN,37203,America/Chicago,36.1583,-86.80033,36.15793,-86.80032
159985713,AVERITT EXPRESS DR,,N,0.087032462445419,5,DAVIDSON,TN,37211,America/Chicago,36.1096,-86.71562,36.11058,-86.71638
1524470252,,,N,0.010378982915918,4,DAVIDSON,TN,37207,America/Chicago,36.20627,-86.77429,36.20642,-86.77428
156236826,WIMPOLE DR,,N,0.09540466498828,4,DAVIDSON,TN,37211,America/Chicago,36.12299,-86.72218,36.12369,-86.72071
160538500,DOUGLAS AVE,,E,0.097179170118675,4,DAVIDSON,TN,37206,America/Chicago,36.19232,-86.74148,36.19215,-86.73975
1524496888,I-40 W,40,W,0.537395671190835,1,DAVIDSON,TN,37221,America/Chicago,36.086847502145,-86.944929570548,36.08287,-86.9532
464243341,WILSON BLVD S,,S,0.293285808974345,4,DAVIDSON,TN,37205,America/Chicago,36.12864,-86.83387,36.12442,-86.83332
475945221,,,S,0.107843589737204,5,DAVIDSON,TN,37203,America/Chicago,36.14161,-86.77746,36.14073,-86.77738
159697888,MUNN RD,,E,0.152498080699529,5,DAVIDSON,TN,37214,America/Chicago,36.16989,-86.66105,36.17013,-86.6587
1524386863,,,E,0.117656809707383,3,DAVIDSON,TN,37207,America/Chicago,36.23941,-86.75318,36.2405,-86.75156
464244675,,,S,0.035649588765501,4,DAVIDSON,TN,37208,America/Chicago,36.18818,-86.82186,36.18767,-86.82185
156960905,TANKSLEY AVE,,E,0.085027488273718,5,DAVIDSON,TN,37211,America/Chicago,36.10855,-86.74546,36.10873,-86.74406
464242017,NASHBORO BLVD,,S,0.519293898554052,4,DAVIDSON,TN,37217,America/Chicago,36.08919,-86.62737,36.0892,-86.63636
1524469276,BROADWAY,431,S,0.200597517643322,4,DAVIDSON,TN,37203,America/Chicago,36.15564,-86.78972,36.15427,-86.79289
1524313862,CLARKSVILLE PIKE,41,E,0.325669728798466,4,DAVIDSON,TN,37080,America/Chicago,36.3254,-86.9153,36.32295,-86.91033
160318853,CHILDRENS WAY,,E,0.107806061281847,5,DAVIDSON,TN,37212,America/Chicago,36.13905,-86.80507,36.13888,-86.80315
485346618,AIR LANE DR,,E,0.090855189840501,5,DAVIDSON,TN,37210,America/Chicago,36.14525,-86.70552,36.14484,-86.70404
156628913,EXPRESSWAY PARK DR,,E,0.132378023942956,5,DAVIDSON,TN,37210,America/Chicago,36.14826,-86.75034,36.14915,-86.74855
156628916,16TH AVE N,,S,0.046207025323612,5,DAVIDSON,TN,37203,America/Chicago,36.16152,-86.79755,36.16093,-86.79716
